2025-06-27T02:48:25.088342, avg_wind=0.00, samples=128
2025-06-27T02:53:26.435237, avg_wind=0.00, samples=128
2025-06-27T02:58:27.786097, avg_wind=0.00, samples=128
2025-06-27T03:03:29.092217, avg_wind=0.00, samples=128
2025-06-27T03:08:30.416305, avg_wind=0.00, samples=128
2025-06-27T03:13:31.792650, avg_wind=0.00, samples=128
2025-06-27T03:18:33.130257, avg_wind=0.00, samples=128
2025-06-27T03:23:34.514339, avg_wind=0.00, samples=128
2025-06-27T03:28:35.875090, avg_wind=0.00, samples=128
2025-06-27T03:33:37.285401, avg_wind=0.00, samples=128
2025-06-27T03:38:38.618867, avg_wind=0.00, samples=128
2025-06-27T03:43:39.960409, avg_wind=0.00, samples=128
2025-06-27T03:48:41.298594, avg_wind=0.02, samples=128
2025-06-27T03:53:42.626592, avg_wind=0.01, samples=128
2025-06-27T03:58:44.005783, avg_wind=0.52, samples=128
2025-06-27T04:03:45.331379, avg_wind=0.03, samples=128
2025-06-27T04:08:46.715427, avg_wind=0.00, samples=128
2025-06-27T04:13:48.125877, avg_wind=0.00, samples=128
2025-06-27T04:18:49.460856, avg_wind=0.00, samples=128
2025-06-27T04:23:50.893091, avg_wind=0.00, samples=128
2025-06-27T04:28:52.238495, avg_wind=0.00, samples=128
2025-06-27T04:33:53.620610, avg_wind=0.00, samples=128
2025-06-27T04:38:55.011472, avg_wind=0.00, samples=128
2025-06-27T04:43:56.286100, avg_wind=0.00, samples=128
2025-06-27T04:48:57.661098, avg_wind=0.00, samples=128
2025-06-27T04:53:59.076813, avg_wind=0.00, samples=128
2025-06-27T04:59:00.408956, avg_wind=0.00, samples=128
2025-06-27T05:04:01.791791, avg_wind=0.00, samples=128
2025-06-27T05:09:03.148235, avg_wind=0.00, samples=128
2025-06-27T05:14:04.605065, avg_wind=0.00, samples=128
2025-06-27T05:19:05.966051, avg_wind=0.04, samples=128
2025-06-27T05:24:07.271159, avg_wind=0.01, samples=128
2025-06-27T05:29:08.637643, avg_wind=0.00, samples=128
2025-06-27T05:34:09.958992, avg_wind=0.00, samples=128
2025-06-27T05:39:11.315425, avg_wind=0.00, samples=128
2025-06-27T05:44:12.715045, avg_wind=0.00, samples=128
2025-06-27T05:49:14.061164, avg_wind=0.01, samples=128
2025-06-27T05:54:15.382214, avg_wind=0.00, samples=128
2025-06-27T05:59:16.763795, avg_wind=0.00, samples=128
2025-06-27T06:04:18.101076, avg_wind=0.00, samples=128
2025-06-27T06:09:19.451272, avg_wind=0.00, samples=128
2025-06-27T06:14:20.798020, avg_wind=0.00, samples=128
2025-06-27T06:19:22.135014, avg_wind=0.09, samples=128
2025-06-27T06:24:23.473895, avg_wind=0.00, samples=128
2025-06-27T06:29:24.825408, avg_wind=0.00, samples=128
2025-06-27T06:34:26.223247, avg_wind=0.00, samples=128
2025-06-27T06:39:27.639491, avg_wind=0.00, samples=128
2025-06-27T06:44:28.942789, avg_wind=0.00, samples=128
2025-06-27T06:49:30.267304, avg_wind=0.00, samples=128
2025-06-27T06:54:31.567719, avg_wind=0.00, samples=128
2025-06-27T06:59:32.926409, avg_wind=0.00, samples=128
2025-06-27T07:04:34.280859, avg_wind=0.02, samples=128
2025-06-27T07:09:35.629430, avg_wind=0.00, samples=128
2025-06-27T07:14:36.906462, avg_wind=0.00, samples=128
2025-06-27T07:19:38.194046, avg_wind=0.07, samples=128
2025-06-27T07:24:39.630946, avg_wind=0.00, samples=128
2025-06-27T07:29:41.007153, avg_wind=0.00, samples=128
2025-06-27T07:34:42.323906, avg_wind=0.00, samples=128
2025-06-27T07:39:43.673179, avg_wind=0.00, samples=128
2025-06-27T07:44:45.001321, avg_wind=0.00, samples=128
2025-06-27T07:49:46.295420, avg_wind=0.00, samples=128
2025-06-27T07:54:47.648220, avg_wind=0.00, samples=128
2025-06-27T07:59:49.048652, avg_wind=0.00, samples=128
2025-06-27T08:04:50.355897, avg_wind=0.01, samples=128
2025-06-27T08:09:51.725246, avg_wind=0.20, samples=128
2025-06-27T08:14:53.105719, avg_wind=0.00, samples=128
2025-06-27T08:19:54.416921, avg_wind=0.02, samples=128
2025-06-27T08:24:55.819436, avg_wind=0.20, samples=128
2025-06-27T08:29:57.126856, avg_wind=0.14, samples=128
2025-06-27T08:34:58.551215, avg_wind=0.02, samples=128
2025-06-27T08:39:59.911357, avg_wind=0.13, samples=128
2025-06-27T08:45:01.222909, avg_wind=0.03, samples=128
2025-06-27T08:50:02.584217, avg_wind=0.09, samples=128
2025-06-27T08:55:03.955251, avg_wind=0.06, samples=128
2025-06-27T09:00:05.328375, avg_wind=0.07, samples=128
2025-06-27T09:05:06.717733, avg_wind=0.00, samples=128
2025-06-27T09:10:08.121985, avg_wind=0.26, samples=128
2025-06-27T09:15:09.501353, avg_wind=0.32, samples=128
2025-06-27T09:20:10.881160, avg_wind=0.22, samples=128
2025-06-27T09:25:12.277552, avg_wind=0.38, samples=128
2025-06-27T09:30:13.664902, avg_wind=0.67, samples=128
2025-06-27T09:35:14.969642, avg_wind=0.62, samples=128
2025-06-27T09:40:16.347973, avg_wind=0.55, samples=128
2025-06-27T09:45:17.735376, avg_wind=0.28, samples=128
2025-06-27T09:50:19.056404, avg_wind=0.96, samples=128
2025-06-27T09:55:20.495760, avg_wind=0.97, samples=128
2025-06-27T10:00:21.821588, avg_wind=1.03, samples=128
2025-06-27T10:05:23.225346, avg_wind=1.75, samples=128
2025-06-27T10:13:41.135223, avg_wind=0.85, samples=132
2025-06-27T10:18:42.532751, avg_wind=1.74, samples=128
2025-06-27T10:23:43.958161, avg_wind=1.54, samples=128
2025-06-27T10:28:45.355990, avg_wind=1.45, samples=128
2025-06-27T10:33:46.768345, avg_wind=1.65, samples=128
2025-06-27T10:38:48.240316, avg_wind=1.58, samples=128
2025-06-27T10:43:49.689291, avg_wind=0.75, samples=128
2025-06-27T10:48:51.163227, avg_wind=0.84, samples=128
2025-06-27T10:53:52.640922, avg_wind=1.38, samples=128
2025-06-27T10:58:54.076396, avg_wind=2.06, samples=128
2025-06-27T11:03:55.535848, avg_wind=1.82, samples=128
2025-06-27T11:08:56.963766, avg_wind=1.73, samples=128
2025-06-27T11:13:58.413149, avg_wind=1.17, samples=128
2025-06-27T11:18:59.804433, avg_wind=1.40, samples=128
2025-06-27T11:24:01.254789, avg_wind=1.88, samples=128
2025-06-27T11:29:02.676673, avg_wind=1.40, samples=128
2025-06-27T11:34:04.096008, avg_wind=1.32, samples=128
2025-06-27T11:39:05.566385, avg_wind=1.61, samples=128
