2025-07-03T09:23:10.305685, avg_wind=0.26, samples=1
2025-07-03T09:23:22.867692, avg_wind=0.70, samples=1
2025-07-03T09:23:35.304923, avg_wind=0.00, samples=1
2025-07-03T09:23:47.812866, avg_wind=0.26, samples=1
2025-07-03T09:24:00.418160, avg_wind=0.09, samples=1
2025-07-03T09:24:13.116152, avg_wind=0.79, samples=1
2025-07-03T09:24:25.848505, avg_wind=0.96, samples=1
2025-07-03T09:24:38.344877, avg_wind=0.00, samples=1
2025-07-03T09:24:51.094271, avg_wind=0.70, samples=1
2025-07-03T09:25:06.049707, avg_wind=0.79, samples=1
2025-07-03T09:25:18.621741, avg_wind=1.57, samples=1
2025-07-03T09:25:31.360046, avg_wind=2.45, samples=1
2025-07-03T09:25:43.913833, avg_wind=1.84, samples=1
2025-07-03T09:25:56.581201, avg_wind=1.22, samples=1
2025-07-03T09:26:09.064894, avg_wind=0.79, samples=1
2025-07-03T09:26:21.582184, avg_wind=1.05, samples=1
2025-07-03T09:26:34.414596, avg_wind=0.79, samples=1
2025-07-03T09:26:47.098215, avg_wind=0.09, samples=1
2025-07-03T09:26:59.839649, avg_wind=0.00, samples=1
2025-07-03T09:27:12.373251, avg_wind=0.00, samples=1
2025-07-03T09:27:25.083231, avg_wind=0.18, samples=1
2025-07-03T09:27:37.594839, avg_wind=0.26, samples=1
2025-07-03T09:27:50.101189, avg_wind=0.00, samples=1
2025-07-03T09:28:03.020444, avg_wind=1.14, samples=1
2025-07-03T09:28:15.573201, avg_wind=0.96, samples=1
2025-07-03T09:28:27.578096, avg_wind=0.18, samples=1
2025-07-03T09:28:40.063132, avg_wind=0.79, samples=1
2025-07-03T09:28:52.606835, avg_wind=1.22, samples=1
2025-07-03T09:29:05.335083, avg_wind=1.05, samples=1
2025-07-03T09:29:18.064901, avg_wind=1.05, samples=1
2025-07-03T09:29:30.602121, avg_wind=1.14, samples=1
2025-07-03T09:29:43.328463, avg_wind=0.96, samples=1
2025-07-03T09:29:55.858261, avg_wind=1.22, samples=1
2025-07-03T09:30:08.615051, avg_wind=0.70, samples=1
2025-07-03T09:30:21.321266, avg_wind=1.40, samples=1
2025-07-03T09:30:33.834324, avg_wind=1.84, samples=1
2025-07-03T09:30:46.317827, avg_wind=1.31, samples=1
2025-07-03T09:30:58.807176, avg_wind=1.05, samples=1
2025-07-03T09:31:11.362015, avg_wind=1.14, samples=1
2025-07-03T09:31:24.118666, avg_wind=0.44, samples=1
2025-07-03T09:31:36.853013, avg_wind=1.14, samples=1
2025-07-03T09:31:49.575126, avg_wind=0.26, samples=1
2025-07-03T09:32:02.081586, avg_wind=0.70, samples=1
2025-07-03T09:32:14.591755, avg_wind=0.61, samples=1
2025-07-03T09:32:27.312063, avg_wind=0.00, samples=1
2025-07-03T09:32:39.839168, avg_wind=0.88, samples=1
2025-07-03T09:32:52.322624, avg_wind=0.61, samples=1
2025-07-03T09:33:04.859387, avg_wind=0.61, samples=1
2025-07-03T09:33:17.559746, avg_wind=0.88, samples=1
2025-07-03T09:33:30.113905, avg_wind=1.14, samples=1
2025-07-03T09:33:42.652754, avg_wind=0.44, samples=1
2025-07-03T09:33:55.326800, avg_wind=2.71, samples=1
2025-07-03T09:34:07.806566, avg_wind=2.19, samples=1
2025-07-03T09:34:20.349017, avg_wind=1.14, samples=1
2025-07-03T09:34:32.822308, avg_wind=0.53, samples=1
2025-07-03T09:34:45.341651, avg_wind=0.18, samples=1
2025-07-03T09:34:58.328229, avg_wind=1.40, samples=1
2025-07-03T09:35:10.825265, avg_wind=1.66, samples=1
2025-07-03T09:35:23.616955, avg_wind=0.88, samples=1
2025-07-03T09:35:36.066614, avg_wind=1.14, samples=1
2025-07-03T09:35:48.604633, avg_wind=0.88, samples=1
2025-07-03T09:36:01.314323, avg_wind=0.96, samples=1
2025-07-03T09:36:14.145934, avg_wind=1.40, samples=1
2025-07-03T09:36:26.862366, avg_wind=1.75, samples=1
2025-07-03T09:36:39.597765, avg_wind=1.49, samples=1
2025-07-03T09:36:52.356351, avg_wind=1.31, samples=1
2025-07-03T09:37:05.075125, avg_wind=0.61, samples=1
