2025-07-03T09:22:32.828535, avg_flow=0.0000, samples=1
2025-07-03T09:22:45.300154, avg_flow=0.0000, samples=1
2025-07-03T09:22:57.841192, avg_flow=0.0000, samples=1
2025-07-03T09:23:10.304936, avg_flow=0.0000, samples=1
2025-07-03T09:23:22.866936, avg_flow=0.0000, samples=1
2025-07-03T09:23:35.303799, avg_flow=0.0000, samples=1
2025-07-03T09:23:47.811994, avg_flow=0.0000, samples=1
2025-07-03T09:24:00.417391, avg_flow=0.0000, samples=1
2025-07-03T09:24:13.115402, avg_flow=0.0000, samples=1
2025-07-03T09:24:25.847543, avg_flow=0.0000, samples=1
2025-07-03T09:24:38.344114, avg_flow=0.0000, samples=1
2025-07-03T09:24:51.093516, avg_flow=0.0000, samples=1
2025-07-03T09:25:06.048941, avg_flow=0.0978, samples=1
2025-07-03T09:25:18.620980, avg_flow=0.0689, samples=1
2025-07-03T09:25:31.359296, avg_flow=0.0467, samples=1
2025-07-03T09:25:43.913098, avg_flow=0.0511, samples=1
2025-07-03T09:25:56.580442, avg_flow=0.0489, samples=1
2025-07-03T09:26:09.064147, avg_flow=0.0489, samples=1
2025-07-03T09:26:21.581440, avg_flow=0.0489, samples=1
2025-07-03T09:26:34.413841, avg_flow=0.0467, samples=1
2025-07-03T09:26:47.097442, avg_flow=0.0511, samples=1
2025-07-03T09:26:59.838915, avg_flow=0.0489, samples=1
2025-07-03T09:27:12.372503, avg_flow=0.0511, samples=1
2025-07-03T09:27:25.082466, avg_flow=0.0489, samples=1
2025-07-03T09:27:37.594003, avg_flow=0.0489, samples=1
2025-07-03T09:27:50.100446, avg_flow=0.0489, samples=1
2025-07-03T09:28:03.019659, avg_flow=0.0511, samples=1
2025-07-03T09:28:15.572436, avg_flow=0.0467, samples=1
2025-07-03T09:28:27.577352, avg_flow=0.0489, samples=1
2025-07-03T09:28:40.062386, avg_flow=0.0489, samples=1
2025-07-03T09:28:52.605960, avg_flow=0.0511, samples=1
2025-07-03T09:29:05.334340, avg_flow=0.0533, samples=1
